category,split,label,path,width,height,mode,is_corrupt,sha256,is_duplicate,has_mask
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/003.png,900,900,RGB,False,b4797ce35dd407629e29dd199cd6e497f0a706a1ddd72ace226f30858d3199c4,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/001.png,900,900,RGB,False,b5e6fd5f3f9ac5310f4fecc37f64d42eaa3326d3d3b327369d2d789752189a0f,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/018.png,900,900,RGB,False,ced7c9391abb29b26e126885a1dde2310f3fd1e2cfdf997cd463221e7664e57e,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/002.png,900,900,RGB,False,249813c6bccb58b9de711a6b7248f4fd8ba4136364cfad2e0577769db91353c2,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/005.png,900,900,RGB,False,cb4dfa6e11f536aa8746834d41e27f86facf51fb8c92e421af7c6dc342a32553,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/000.png,900,900,RGB,False,11a691a06a33dd78c5fcab6a822caa48c0d72f27f660e19f5abd9b5aa392b0eb,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/017.png,900,900,RGB,False,32a2c9cf43301567ccbb7c2e9a4eccff5a8e464de8a9c545885d6bfb28ab0315,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/015.png,900,900,RGB,False,3237744b81d8c38e32188bd5b0ae5cabedf37560f721466bd4a8db9851fb10cc,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/006.png,900,900,RGB,False,7e1590d94352b6a5d9463d4b378721ac80335f512d78095c7126d3eae1799fae,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/013.png,900,900,RGB,False,cdb49dee73c2b02e2e062fe890ad5b6babc6aa5d95c84ba35486631a105f8373,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/011.png,900,900,RGB,False,d1819a2167952638c4826a78d3d081fdf26e5a923f3868713af122f5b1d8eddb,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/019.png,900,900,RGB,False,6807074bef09e3257c3bb516167264a9003ca666e1ddb65d7e306025a9cee695,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/012.png,900,900,RGB,False,d531152578b689d196411359c7e8db8f06ba865916e62d0bd7d4f9a81869b6db,False,True
bottle,test,broken_large,/home/sgowrishetty/mvtec_ad/bottle/test/broken_large/010.png,900,900,RGB,False,cac8b9cc86de2513a673453689e927a2c70a86b2f4961df2e70d795aad9fc0c6,False,True
